day;accident_location;type_of_street;flooring;intersection_type;road_surface_conditions;meteorological_conditions;nature_of_the_accident;type_vehicle_a;type_vehicle_b;type_vehicle_c;vehicle_a_circumstances_1;vehicle_a_circumstances_2;vehicle_b_circumstances_1;vehicle_b_circumstances_2;vehicle_a_registration_year;vehicle_b_registration_year;vehicle_c_registration_year;vehicle_a_driver_age;vehicle_a_driver_sex;vehicle_a_driver_outcome;vehicle_a_driver_licence;vehicle_a_release_year;vehicle_b_driver_age;vehicle_b_driver_sex;vehicle_b_driver_outcome;vehicle_b_driver_licence;vehicle_b_release_year;vehicle_c_driver_age;vehicle_c_driver_sex;vehicle_c_driver_outcome;vehicle_c_driver_licence;vehicle_c_release_year;injured_pedestrians;pedestrians_fatality;tot_death_within_24h;tot_deaths_within_30_days;tot_injured;hour;trimester;cubic_capacity_a;cubic_capacity_b;cubic_capacity_c;fatality
7;7;1;1;7;1;1;3;1;1;  ;21;  ;20;  ;(2002,2012];(2002,2012];           ;18-29;1;2;2;(2017,2022];18-29;2;2;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;3;19;2;1598;1242;     ;0
6;7;1;1;8;2;3;6;1;1;  ;61;  ;64;  ;2017;(2002,2012];           ;30-44;2;1;2;(2007,2012];30-44;2;2;2;(2007,2012];     ; ; ; ;           ;0;0;0;0;1;19;2;999;1598;     ;0
3;7;1;1;7;1;1;8;1;  ;  ;61;  ;65;  ;2019;           ;           ;55-64;1;2;2;(1982,1987];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;15;2;1499;     ;     ;0
3;1;2;1;7;1;1;2;16;1;  ;23;  ;20;  ;(2002,2012];           ;           ;30-44;1;2;2;(2012,2017];45-54;1;1;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;18;2;     ;     ;     ;0
7;7;1;1;7;1;7;3;8;1;  ;22;  ;20;  ;(2002,2012];2014;           ;18-29;1;1;2;(2017,2022];18-29;2;2;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;3;3;2;2287;1242;     ;0
5;7;2;1;7;2;3;4;1;1;1;21;  ;22;  ;(2002,2012];(2002,2012];(2002,2012];65+  ;1;1;2;(2017,2022];18-29;1;2;2;(2017,2022];45-54;1;1;2;(2017,2022];0;0;0;0;2;14;2;     ;1229;1560;0
6;7;1;1;8;2;7;8;1;  ;  ;61;  ;65;  ;2015;           ;           ;18-29;1;2;2;(2012,2017];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;3;6;2;1242;     ;     ;0
6;7;1;1;7;1;1;4;1;1;  ;22;  ;20;  ;2019;2017;           ;30-44;1;1;2;(2002,2007];30-44;1;2;2;(2007,2012];     ; ; ; ;           ;0;0;0;0;2;12;2;     ;     ;     ;0
6;7;1;1;8;1;7;8;1;  ;  ;67;  ;65;  ;(2002,2012];           ;           ;55-64;2;2;2;<1983      ;     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;17;2;     ;     ;     ;0
7;7;1;1;8;1;7;8;1;  ;  ;0;  ;0;  ;(2002,2012];           ;           ;18-29;1;2;2;(2017,2022];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;3;2;1587;     ;     ;0
6;7;1;1;8;1;1;10;16;  ;  ;71;  ;75;  ;2018;           ;           ;45-54;1;2;2;(1982,1987];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;13;2;278;     ;     ;0
5;7;1;1;7;1;1;4;1;1;  ;20;  ;22;  ;2018;(2002,2012];           ;55-64;2;2;2;(2017,2022];30-44;1;1;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;12;2;     ;1910;     ;0
3;7;1;1;7;1;1;1;1;1;  ;22;  ;20;  ;(2002,2012];2017;           ;45-54;2;2;2;(2012,2017];45-54;1;1;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;17;2;1242;1950;     ;0
6;7;1;1;8;1;1;4;1;16;  ;29;  ;21;  ;2013;2021;           ;45-54;2;1;2;(1987,1992];30-44;1;2;2;(1992,1997];     ; ; ; ;           ;0;0;0;0;1;7;2;1582;550;     ;0
6;7;1;1;7;1;1;4;1;1;  ;22;  ;20;  ;           ;2019;           ;55-64;1;1;2;(2017,2022];30-44;1;1;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;10;2;1242;1499;     ;0
7;7;1;1;8;1;1;2;1;1;1;23;  ;  ;  ;2016;2017;2014;55-64;1;1;2;(2017,2022];18-29;1;2;2;(2012,2017];18-29;1;2;2;(2017,2022];0;0;0;0;2;1;2;2993;     ;1242;0
2;7;1;1;7;1;1;3;1;16;  ;29;  ;21;  ;(2002,2012];2015;           ;18-29;1;1;2;(2017,2022];30-44;1;2;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;17;2;     ;     ;     ;0
3;7;1;1;7;1;1;3;16;1;  ;35;  ;20;  ;(1983,1992];(2002,2012];           ;45-54;1;2;2;(2012,2017];45-54;1;1;2;(1987,1992];     ; ; ; ;           ;0;0;0;0;1;8;2;     ;     ;     ;0
2;7;1;1;7;1;1;7;1;  ;  ;60;  ;62;  ;2015;           ;           ;18-29;2;2;2;(2012,2017];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;8;2;     ;     ;     ;0
4;7;1;1;8;1;1;3;8;16;  ;0;  ;0;  ;2021;           ;           ;45-54;1;1;3;(1987,1992];30-44;1;2;1;           ;     ; ; ; ;           ;0;0;0;0;1;20;2;12902;754;     ;0
4;7;1;1;8;1;1;4;1;1;1;22;  ;20;  ;2018;2021;(2002,2012];30-44;2;1;2;(2017,2022];18-29;1;1;2;(2017,2022];18-29;2;2;2;(2012,2017];0;0;0;0;1;14;2;     ;     ;     ;0
2;1;3;1;7;1;1;4;1;1;  ;38;  ;30;  ;2018;2018;           ;18-29;1;2;2;(2012,2017];n.i. ;1;1; ;           ;     ; ; ; ;           ;0;0;0;0;1;2;2;     ;     ;     ;0
1;7;1;1;8;1;1;4;1;1;1;20;  ;21;  ;2021;2022;2018;30-44;2;2;2;(2017,2022];18-29;1;1;2;(2012,2017];30-44;1;1;3;(2017,2022];0;0;0;0;1;16;2;     ;     ;     ;0
1;7;1;1;7;1;1;5;16;  ;  ;40;  ;44;  ;(2002,2012];           ;           ;18-29;1;2; ;(2012,2017];     ; ; ; ;           ;     ; ; ; ;           ;1;0;0;0;2;10;2;     ;     ;     ;0
4;7;1;1;7;1;1;4;1;1;  ;21;  ;20;  ;2021;2019;           ;45-54;1;1;3;(2017,2022];18-29;1;1;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;15;2;     ;     ;     ;0
4;7;1;1;7;1;1;4;1;1;  ;0;  ;0;  ;(2002,2012];           ;           ;65+  ;1;2;2;<1983      ;30-44;1;1;2;           ;     ; ; ; ;           ;0;0;0;0;1;13;2;     ;1598;     ;0
5;7;1;1;8;1;1;8;16;  ;  ;61;  ;65;  ;2018;           ;           ;45-54;1;2;2;(1992,1997];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;8;2;279;     ;     ;0
5;7;1;1;7;1;1;4;1;1;1;20;  ;21;  ;2019;2013;2021;45-54;1;1;2;(1987,1992];65+  ;1;1;2;<1983      ;55-64;1;2;2;(1982,1987];0;0;0;0;1;15;2;1997;1998;1499;0
5;7;1;1;8;1;1;4;1;1;1;0;  ;0;  ;2022;(2002,2012];(2002,2012];55-64;1;1;2;(2012,2017];18-29;1;1;2;(2017,2022];45-54;1;2;2;(2017,2022];0;0;0;0;2;15;2;1499;1368;1229;0
2;7;1;1;7;1;1;4;1;1;1;22;  ;20;  ;2021;2019;           ;30-44;1;1;2;(2012,2017];30-44;1;1;2;           ;30-44;1;2;2;(2017,2022];0;0;0;0;2;8;2;     ;     ;     ;0
